0,1
img_39454,1
img_25590,8
img_24442,8
img_24198,4
img_38774,5
img_3400,1
img_27242,1
img_24202,2
img_22032,5
img_5691,2
img_23475,1
img_36650,0
img_38829,8
img_999,4
img_15218,8
img_16895,9
img_19350,2
img_9880,9
img_32351,2
img_40507,3
img_6077,2
img_23331,7
img_23060,9
img_4088,9
img_9421,9
img_26321,6
img_28933,5
img_11879,0
img_34199,1
img_12245,8
img_25575,5
img_1783,1
img_25059,3
img_4716,1
img_11272,0
img_25736,9
img_5356,9
img_39779,2
img_30985,8
img_29564,1
img_1524,1
img_14161,5
img_40385,5
img_4595,6
img_38927,9
img_17177,1
img_5731,9
img_9368,5
img_31820,9
img_2491,1
img_23962,9
img_24773,9
img_34214,7
img_37844,3
img_15406,1
img_37640,1
img_3406,0
img_27343,5
img_40157,8
img_7570,1
img_38775,4
img_8902,5
img_3899,6
img_22841,2
img_29849,4
img_25097,5
img_27110,9
img_9601,2
img_41869,6
img_34342,4
img_4158,9
img_1552,3
img_9822,7
img_4219,9
img_12166,9
img_26656,1
img_26538,0
img_15492,3
img_22603,6
img_3768,3
img_32821,5
img_37177,2
img_2511,4
img_11426,4
img_8212,8
img_5308,2
img_24146,2
img_11300,6
img_5899,6
img_4545,5
img_3833,7
img_17667,6
img_33286,1
img_7556,1
img_11975,6
img_19595,8
img_12426,5
img_36243,1
img_2095,2
img_11221,5
img_12966,6
img_129,0
img_25602,2
img_34316,9
img_10270,9
img_4429,7
img_33824,3
img_2709,5
img_41025,6
img_38979,2
img_9945,7
img_19876,2
img_1000,1
img_22628,4
img_30282,9
img_11344,8
img_7438,6
img_25972,8
img_2001,1
img_444,2
img_29285,7
img_24454,3
img_10860,3
img_14277,7
img_9570,0
img_36845,2
img_40461,3
img_8647,6
img_9201,6
img_22430,8
img_19526,5
img_31950,0
img_17322,5
img_41216,2
img_8057,3
img_3267,2
img_38348,0
img_7313,3
img_40441,5
img_27572,3
img_30931,5
img_18607,9
img_1430,1
img_20236,0
img_27652,1
img_30716,2
img_1596,7
img_7304,3
img_24348,6
img_40985,4
img_40564,1
img_14818,1
img_20052,1
img_23232,7
img_39978,2
img_16662,3
img_1724,7
img_32434,9
img_13020,0
img_12847,0
img_10701,0
img_40478,1
img_38773,2
img_25114,4
img_31808,9
img_21337,0
img_38737,1
img_36214,7
img_17617,9
img_8424,3
img_24782,1
img_22831,0
img_15114,7
img_20711,7
img_21170,3
img_15635,9
img_7956,5
img_29619,0
img_14733,8
img_40956,0
img_5823,3
img_21678,7
img_13067,5
img_25791,9
img_8278,2
img_35270,2
img_31206,3
img_5393,9
img_7329,3
img_2081,0
img_30721,4
img_6111,8
img_37673,1
img_30154,6
img_33124,7
img_27942,8
img_28993,2
img_36137,4
img_40473,8
img_16323,6
img_23212,6
img_13824,6
img_15663,4
img_1551,6
img_32510,0
img_26769,6
img_34418,8
img_16001,1
img_27259,2
img_18626,7
img_26048,7
img_12299,5
img_28007,7
img_19054,2
img_9695,9
img_23049,8
img_31311,2
img_31537,4
img_24544,9
img_40467,9
img_17165,9
img_8296,8
img_37652,6
img_15147,1
img_9561,7
img_34803,1
img_37685,8
img_41292,1
img_35806,9
img_16415,8
img_27980,9
img_12273,9
img_20074,2
img_14682,1
img_5386,1
img_8609,5
img_41155,3
img_5961,3
img_212,3
img_3262,9
img_509,7
img_13272,7
img_8753,3
img_15535,7
img_13106,1
img_13816,8
img_26239,8
img_25383,2
img_4323,1
img_13710,6
img_41515,3
img_9897,4
img_4954,2
img_28353,2
img_9246,1
img_9273,3
img_21976,6
img_6648,9
img_6498,4
img_3185,8
img_32288,6
img_25513,3
img_36883,5
img_15745,7
img_14318,5
img_40025,2
img_37000,9
img_35855,5
img_39509,0
img_38930,5
img_12883,4
img_24034,3
img_30595,5
img_4980,3
img_21692,8
img_4668,9
img_41955,3
img_34118,8
img_22667,2
img_22810,4
img_13309,3
img_4389,4
img_20035,5
img_4420,8
img_28543,2
img_16649,0
img_31279,1
img_36090,0
img_29593,3
img_36294,2
img_3925,6
img_14151,1
img_26096,5
img_19456,6
img_6310,0
img_4020,6
img_21045,9
img_40165,3
img_5692,8
img_3595,4
img_4242,2
img_20392,1
img_28695,7
img_33337,9
img_10775,4
img_36180,5
img_8954,4
img_30598,1
img_76,7
img_5171,1
img_5410,2
img_18630,0
img_11462,2
img_35277,4
img_15235,0
img_16309,5
